Category,Subcategory,Title,Brand,Country,URL
Молочные продукты и яйца,Йогурт,Йогурт 2.5% Клубника-Маракуйя Epica п/бут 290г,ТМ Epica,RU,https://contentservice.kz/product/4606779772405-kz-yogurt-pitevoy-epica-klubn-marak-25-290ml-pb
Молочные продукты и яйца,Йогурт,Йогурт 7.2% греческий Клубника FoodMaster ст 130г,ТМ Food Master,KZ,https://contentservice.kz/product/4870207313335-kz-yogurt-food-master-grecheskiy-klubnika-72-130gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 7.5% сливочный Яблоко-груша Эрмигурт Ehrmann ст 4х100г,ТМ Ehrmann,RU,https://contentservice.kz/product/4606779900808-kz-yogurt-ehrmann-ermigurt-yablokogrusha-75-100gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 2.7% для детей от 8мес Зелёное яблоко-Мелисса Засыпай-ка Агуша п/бут 200г,ТМ Агуша,RU,https://contentservice.kz/product/4690228028960-kz-yogurt-agusha-zasypay-ka-zel-yablmelissa-8mes-27-200gr-pb
Молочные продукты и яйца,Йогурт,Пудинг 3.2% молочный ультрапастеризованный Шоколадный Эрмигурт Ehrmann ст 4х100г,ТМ Ehrmann,RU,https://contentservice.kz/product/4606779608308-kz-puding-ehrmann-ermigurt-ekstra-royal-chocolate-32-100gr
Молочные продукты и яйца,Йогурт,Биойогурт 1.5% Чернослив-злаки Эмиль т/п 500г,ТМ Эмиль,KZ,https://contentservice.kz/product/4870005353717-kz-bioyogurt-pitevoy-emil-chernosliv-so-zlakami-15-500ml-trx
Молочные продукты и яйца,Йогурт,Биойогурт 2.4% Цитрусовый микс с киноа и семенами чиа BioMax ст 125г,ТМ Bio Max,RU,https://contentservice.kz/product/4690228036163-kz-bioyogurt-bio-max-citrus-mikskinoasemena-lna-24-125gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 4.8% Клубника Epica ст 290г,ТМ Epica,RU,https://contentservice.kz/product/4606779762208-kz-yogurt-epica-nat-klubn-48-130gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 0.1% пастеризованный С соком клубники Лёгкий Нежный Campina ст 320г,ТМ Campina,RU,https://contentservice.kz/product/4605627009540-kz-produkt-yogurtnyy-campina-nezhnyy-legkiy-klubn-01-320gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 1.5% Персик-абрикос Nәtige т/п 450г,ТМ Nәtige,KZ,https://contentservice.kz/product/4870003751331-kz-yogurt-0450kg-15-zhirn-persik
Молочные продукты и яйца,Йогурт,Биойогурт 2.9% Клубника Био-С Имун+ FoodMaster т/п 500г,ТМ Food Master,KZ,https://contentservice.kz/product/4870055006113-kz-bioyogurt-pitevoy-foodmaster-bio-s-klubnika-32-500ml-rr
Молочные продукты и яйца,Йогурт,Напиток кисломолочный 2% сладкий Снежок Food Master т/п 900г,ТМ Food Master,KZ,https://contentservice.kz/product/4870207313229-kz-napitok-kislomolochnyy-foodmaster-snezhok-2-900ml-rr
Молочные продукты и яйца,Йогурт,Йогурт 1.2% Голубика-Овсяные хлопья Simple Epica п/бут 290г,ТМ Epica,RU,https://contentservice.kz/product/4606779782107-kz-yogurt-pitevoy-epica-simple-golubika-ovsyanye-hlopya-12-290gr-pb
Молочные продукты и яйца,Йогурт,"Йогурт 2.5% с манго, ананасом и семенами чиа Гавайский микс Чудо cт 290г",ТМ Чудо,RU,https://contentservice.kz/product/4690228035296-kz-yogurt-chudo-mangoananaschia-25-290gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 2.4% Ягодное мороженое Чудо п/бут 270г,ТМ Чудо,RU,https://contentservice.kz/product/4690228033001-kz-yogurt-pitevoy-chudo-yagodnoe-morozhenoe-24-270ml-pb
Молочные продукты и яйца,Йогурт,Йогурт 6.5% и смесь из мюсли и сушеных ягод Crispy Epica 140г,ТМ Epica,RU,https://contentservice.kz/product/4606779763700-kz-yogurt-epica-crispy-65-138gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 2.5% Клубника-Земляника Чудо ст 290г,ТМ Чудо,RU,https://contentservice.kz/product/4690228027994-kz-yogurt-chudo-klubnzeml-25-290gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 2.5% питьевой Lactis м/у 0.9л,ТМ No Brand,KZ,https://contentservice.kz/product/4870005890595-kz-yogurt-pitevoy-lactis-so-vkusom-klubn-25-09l-fp
Молочные продукты и яйца,Йогурт,Йогурт 4% термостатный Danone п/б 160г,ТМ Danone,RU,https://contentservice.kz/product/4600605024218-kz-yogurt-danone-termostatnyy-gustoy-4-160gr-ban
Молочные продукты и яйца,Йогурт,Биойогурт 3% Отруби-Злаки Активиа ст 120г,ТМ Активиа,KZ,https://contentservice.kz/product/4870206411698-kz-yogurt-danone-aktivia-otrubizlaki-120gr-stak
Молочные продукты и яйца,Йогурт,Биойогурт 3.2% питьевой со вкусом карамели Био-С Имун+ Food Master т/п 900г,ТМ Food Master,KZ,https://contentservice.kz/product/4870207314240-kz-bioyogurt-pitevoy-bio-s-imun-karamel-32-900gr-trx
Молочные продукты и яйца,Йогурт,Йогурт 2% питьевой со вкусом клубники FoodMaster т/п 450г,ТМ Food Master,KZ,https://contentservice.kz/product/4870207312130-kz-yogurt-pitevoy-foodmaster-klubn-2-450ml
Молочные продукты и яйца,Йогурт,Йогурт 1.2% Семена Чиа-Отруби-Злаки Simple Epica п/бут 290г,ТМ Epica,RU,https://contentservice.kz/product/4606779782206-kz-yogurt-pitevoy-epica-simple-zlaki-otrubi-semena-chia-12-260gr-pb
Молочные продукты и яйца,Йогурт,Коктейль молочный 4% ультрапастеризованный Cоленая Карамель Grand Cocktail Ehrmann п/бут 260г,ТМ Ehrmann,RU,https://contentservice.kz/product/4606779767302-kz-kokteyl-mol-ehrmann-grand-cocktail-so-vkusom-solenaya-karamel-4-260ml-pb
Молочные продукты и яйца,Йогурт,Йогурт 2% питьевой со вкусом лесных ягод Food Master т/п 900г,ТМ Food Master,KZ,https://contentservice.kz/product/4870207314196-kz-yogurt-foodmaster-zhivoy-pitevoy-les-yagody-2-900gr-trx
Молочные продукты и яйца,Йогурт,Коктейль молочный 4% ультрапастеризованный Ванильный пломбир Grand Cocktail Ehrmann п/бут 260г,ТМ Ehrmann,RU,https://contentservice.kz/product/4606779767104-kz-kokteyl-mol-ehrmann-grand-cocktail-so-vkusom-vanil-plombira-4-260ml-pb
Молочные продукты и яйца,Йогурт,Биойогурт 2.9% Виноград-манго-папайя-чиа Активиа ст 150г,ТМ Активиа,RU,https://contentservice.kz/product/4600605026816-kz-bioyogurt-aktivia-vinogradmangopapayyachia-bsahara-150gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 2.5% для детей от 3лет пастеризованный с черникой и витаминами Fruttis Campina ст 110г,ТМ Campina,RU,https://contentservice.kz/product/4605627008529-kz-yogurt-campina-fruttis-ade-princessa-malinachernika-vitaminy-110gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 2.5% Персик-Маракуйя Чудо ст 290г,ТМ Чудо,RU,https://contentservice.kz/product/4690228028014-kz-yogurt-chudo-persmarak-25-290gr-stak
Молочные продукты и яйца,Йогурт,Биопродукт кисломолочный 1.9% Мюсли-курага Bio Max ст 130г,ТМ Bio Max,RU,https://contentservice.kz/product/4690228036040-kz-bioyogurt-bio-max-kuraga-myusli-19-130gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 3% для детей от 3лет Банан Растишка к/у 4x100г,ТМ Растишка,KZ,https://contentservice.kz/product/4870206413975-kz-yogurt-danone-rastishka-banan-3-4100-grup
Молочные продукты и яйца,Йогурт,Биойогурт 3.2% питьевой ванильный Био-С Имун+ Food Master п/бут 900г,ТМ Food Master,KZ,https://contentservice.kz/product/4870207311850-kz-prostokvasha-foodmaster-bio-s-vanil-32-900ml-pb
Молочные продукты и яйца,Йогурт,Йогурт 2.8% детский Amiran ст 180г,ТМ Amiran,KZ,https://contentservice.kz/product/4870210310178-kz-yogurt-amiran-immunivit-detskiy-28-180gr-stak
Молочные продукты и яйца,Йогурт,Биопродукт кисломолочный 1.9% Мюсли-яблоко Bio Max ст 130г,ТМ Bio Max,RU,https://contentservice.kz/product/4690228036088-kz-bioyogurt-bio-max-yabloko-myusli-19-130gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 3% для детей от 3лет Банан Растишка ст 100г,ТМ Растишка,KZ,https://contentservice.kz/product/4870206413883-kz-yogurt-danone-rastishka-banan-3-100gr-stak
Молочные продукты и яйца,Йогурт,Продукт кисломолочный 2.5% Черника-Ежевика Star Wars Actimel п/бут 100г,ТМ Actimel,RU,https://contentservice.kz/product/4600605015636-kz-napitok-pitevoy-danone-actimel-chernikaezhevika-100ml-pb
Молочные продукты и яйца,Йогурт,Биойогурт 2.1% питьевой Чернослив Активиа п/бут 670г,ТМ Активиа,KZ,https://contentservice.kz/product/4870206411711-kz-yogurt-pitevoy-danone-aktivia-chernosliv-2-690ml-pb
Молочные продукты и яйца,Йогурт,Йогурт 1.5% живой Клубника FoodMaster ст 110г,ТМ Food Master,KZ,https://contentservice.kz/product/4870207313366-kz-yogurt-foodmaster-zhivoy-klubnika-15-110gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 3% для детей от 3лет Клубника Растишка к/у 4x100г,ТМ Растишка,KZ,https://contentservice.kz/product/4870206413951-kz-yogurt-danone-rastishka-klubnika-3-4100-grup
Молочные продукты и яйца,Йогурт,Йогурт 2.5% Клубника Эмиль ст 200г,ТМ Эмиль,KZ,https://contentservice.kz/product/4870005354646-kz-yogurt-emil-tvor-desert-s-klubn-25-200gr-stak
Молочные продукты и яйца,Йогурт,Напиток сывороточный пастеризованный Вишня-черешня Актуаль п/бут 310г,ТМ Актуаль,RU,https://contentservice.kz/product/4690502005953-kz-napitok-syvorotochnyy-aktual-vishnyachereshnya-310ml-pb
Молочные продукты и яйца,Йогурт,Биопродукт творожно-йогуртный 4.2% Чернослив-Курага-Инжир Активиа ст 130г,ТМ Активиа,RU,https://contentservice.kz/product/4600605019696-kz-bioprodukt-danone-aktivia-tvorozhno-yogurtnyy-inzhirkuragachernosliv-42-130gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 1.2% Киви-Шпинат Simple Epica п/бут 290г,ТМ Epica,RU,https://contentservice.kz/product/4606779764806-kz-yogurt-pitevoy-epica-simple-kivi-shpinat-12-290gr-pb
Молочные продукты и яйца,Йогурт,Биойогурт 1.5% Клубника-Банан-Злаки Эмиль т/п 500г,ТМ Эмиль,KZ,https://contentservice.kz/product/4870005353700-kz-bioyogurt-pitevoy-emil-klubnbananzlaki-15-500ml-trx
Молочные продукты и яйца,Йогурт,Биойогурт 2.9% Клубника Активиа ст 120г,ТМ Активиа,KZ,https://contentservice.kz/product/4870206411940-kz-yogurt-danone-aktivia-klubn-120gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 4% из козьего молока Zeren п/бут 300мл,ТМ Zeren,KZ,https://contentservice.kz/product/710535169089-kz-yogurt-iz-kozego-moloka-35
Молочные продукты и яйца,Йогурт,Продукт йогуртный 2.5% пастеризованный Клубника-Земляника Вкусный перерыв Fruttis Campina ст 175г,ТМ Campina,RU,https://contentservice.kz/product/4605627006747-kz-yogurt-campina-fruttis-vkusnyy-pereryv-klubnzeml-25-180gr-stak
Молочные продукты и яйца,Йогурт,Биойогурт 3.1% Мюсли Активиа ст 120г,ТМ Активиа,KZ,https://contentservice.kz/product/4870206411667-kz-yogurt-danone-aktivia-myusli-120gr-stak
Молочные продукты и яйца,Йогурт,Напиток кисломолочный 2% Снежок FoodMaster т/п 450г,ТМ Food Master,KZ,https://contentservice.kz/product/4870207312383-kz-snezhok-foodmaster-2-450ml-kbf
Молочные продукты и яйца,Йогурт,Напиток кисломолочный 1.2% с соком и пюре Мультифрукт Имунеле п/бут 100г,ТМ Имунеле,RU,https://contentservice.kz/product/4607025393146-kz-napitok-pitevoy-imunele-multifrukt-09-100ml-pb
Молочные продукты и яйца,Йогурт,Йогурт 2.5% Вишня-Черешня Чудо ст 290г,ТМ Чудо,RU,https://contentservice.kz/product/4690228027970-kz-yogurt-chudo-vishnyachereshnya-25-290gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 5% пастеризованный с клубникой Сливочное лакомство Fruttis Campina ст 290г,ТМ Campina,RU,https://contentservice.kz/product/4605627006600-kz-yogurt-campina-fruttis-slivoch-lakomstvo-klubn-5-290gr-stak
Молочные продукты и яйца,Йогурт,Биойогурт 1.5% Малина-злаки Эмиль т/п 500г,ТМ Эмиль,KZ,https://contentservice.kz/product/4870005354554-kz-bioyogurt-pitevoy-emil-malina-so-zlakami-15-500ml-trx
Молочные продукты и яйца,Йогурт,Продукт йогуртный 5.1% Персик-Маракуйя Сливочный йогуртер Чудо ст 4х115г,ТМ Чудо,RU,https://contentservice.kz/product/4690228008368-kz-yogurt-chudo-persmarak-51-115gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 2.5% из козьего молока Zeren ст 200мл,ТМ Zeren,KZ,https://contentservice.kz/product/710535169287-kz-yogurt-iz-kozego-moloka-25
Молочные продукты и яйца,Йогурт,Биойогурт 1.5% Яблоко-злаки Bio Max п/бут 270г,ТМ Bio Max,RU,https://contentservice.kz/product/4690228036101-kz-bioyogurt-bio-max-yablzlaki-15-270gr-pb
Молочные продукты и яйца,Йогурт,Коктейль йогуртный 5.2% со вкусом клубничного мороженого Shake&Go Даниссимо ст 260г,ТМ Даниссимо,RU,https://contentservice.kz/product/4600605022962-kz-kokteyl-yogurtnyy-danissimo-shakego-klubn-morozhenoe-52-260ml-stak
Молочные продукты и яйца,Йогурт,Бифидойогурт термостатный натуральный Активиа ст 170г,ТМ Активиа,RU,https://contentservice.kz/product/4600605021842-kz-bioyogurt-danone-aktivia-termostatnaya-35-170gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 2.5% Малина-Базилик Epica п/бут 290г,ТМ Epica,RU,https://contentservice.kz/product/4606779782305-kz-yogurt-pitevoy-epica-malinabazilik-25-290ml-pb
Молочные продукты и яйца,Йогурт,Йогурт 2.5% Клубника Danone ст 4х120г,ТМ Danone,KZ,https://contentservice.kz/product/4870206414163-kz-yogurt-danone-klubnika-25-120gr-stak
Молочные продукты и яйца,Йогурт,Биопростокваша 2.5% сладкая с ароматом дыни Биотонус Эмиль т/п 900г,ТМ Эмиль,KZ,https://contentservice.kz/product/4870005355315-kz-bioprostokvasha-pitevaya-emil-biotonus-so-vkusom-dyni-25-900ml-trx
Молочные продукты и яйца,Йогурт,Йогурт 8.4% греческий натуральный FoodMaster ст 130г,ТМ Food Master,KZ,https://contentservice.kz/product/4870207313328-kz-yogurt-foodmaster-grecheskiy-naturalnyy-84-130gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 2.6% густой Вишня-малина Чудо д/п 110г,ТМ Чудо,RU,https://contentservice.kz/product/4690228035630-kz-yogurt-chudo-gustoy-vishnya-malina-4-110gr-dp
Молочные продукты и яйца,Йогурт,Коктейль 4.5% йогуртный Манговый сорбет Чудо ст 235г,ТМ Чудо,RU,https://contentservice.kz/product/4690228036545-kz-kokteyl-chudo-desert-yogurtnyymangovyy-sorbet-45-235gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 5.1% пастеризованный с соком персика и маракуйи Сливочная Услада ст 95г,ТМ Услада,RU,https://contentservice.kz/product/4606779033407-kz-yogurt-uslada-zolotaya-persmarak-51-95gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 1.2% для детей от 3лет Мультифрукт Растишка п/бут 150г,ТМ Растишка,KZ,https://contentservice.kz/product/4870206414118-kz-yogurt-pitevoy-rastishka-sok-12-multifrukt-150ml-pb
Молочные продукты и яйца,Йогурт,Йогурт 1.2% обогащенный бифидобактериями и витаминами Малина-Шиповник Имуно Био Баланс п/бут 900г,ТМ Био Баланс,KZ,https://contentservice.kz/product/4870206413258-kz-yogurt-pitevoy-danone-bio-balans-imuno-kompleks-malinashipovnik-930ml-pb
Молочные продукты и яйца,Йогурт,Йогурт 2.7% для детей от 8мес Яблоко-Груша Агуша п/бут 200г,ТМ Агуша,RU,https://contentservice.kz/product/4607025391753-kz-yogurt-agusha-zasypay-ka-yablgrusha-8mes-27-200gr-pb
Молочные продукты и яйца,Йогурт,Биойогурт 2.2% питьевой Персик-Чиа-Гранола Активиа п/бут 270г,ТМ Активиа,KZ,https://contentservice.kz/product/4870206414125-kz-bioyogurt-pitevoy-aktivia-persikchiagranola-22-270gr-pb
Молочные продукты и яйца,Йогурт,Йогурт 3% для детей от 3лет Яблоко-Груша Растишка ст 100г,ТМ Растишка,KZ,https://contentservice.kz/product/4870206413876-kz-yogurt-danone-rastishka-yabloko-grusha-3-100gr-stak
Молочные продукты и яйца,Йогурт,Биойогурт 2.3% питьевой Орехи-Чиа-Ваниль Активиа п/бут 270г,ТМ Активиа,KZ,https://contentservice.kz/product/4870206414132-kz-bioyogurt-pitevoy-aktivia-orehichiavanil-23-270gr-pb
Молочные продукты и яйца,Йогурт,Йогурт 2.5% питьевой Персик-Маракуйя Danone п/бут 270г,ТМ Danone,KZ,https://contentservice.kz/product/4870206414149-kz-yogurt-pitevoy-danone-persikmarakuyya-25-270ml-pb
Молочные продукты и яйца,Йогурт,Йогурт 4.8% Фисташки Crispy Epica ст 140г,ТМ Epica,RU,https://contentservice.kz/product/4606779765100-kz-yogurt-epica-crispy-fistashki-105-140gr-stak
Молочные продукты и яйца,Йогурт,Биойогурт 2.1% питьевой Клубника-Земляника Активиа п/бут 270г,ТМ Активиа,KZ,https://contentservice.kz/product/4870206411612-kz-napitok-pitevoy-danone-aktivia-klubnzeml-290ml-pb
Молочные продукты и яйца,Йогурт,Продукт кисломолочный 2.5% Клюква-Малина-Чабрец Actimel п/бут 100г,ТМ Actimel,RU,https://contentservice.kz/product/4600605023396-kz-napitok-pitevoy-danone-actimel-klyukvamalinachabrec-100ml-pb
Молочные продукты и яйца,Йогурт,Коктейль 4.5% йогуртный Клубника в шоколаде Чудо ст 235г,ТМ Чудо,RU,https://contentservice.kz/product/4690228036521-kz-kokteyl-chudo-desert-yogurtnyyklubnikashok-45-235gr-stak
Молочные продукты и яйца,Йогурт,Йогурт 2.5% Киви-Виноград Epica п/бут 290г,ТМ Epica,RU,https://contentservice.kz/product/4606779772108-kz-yogurt-pitevoy-epica-kivi-vinograd-25-290ml-pb
Молочные продукты и яйца,Йогурт,Йогурт 4% из козьего молока Клубника Zeren п/бут 300мл,ТМ Zeren,KZ,https://contentservice.kz/product/710535169225-kz-yogurt-klubnichnyy-iz-kozego-moloka-35
Молочные продукты и яйца,Йогурт,Йогурт 2.5% Вишня-Банан Epica п/бут 290г,ТМ Epica,RU,https://contentservice.kz/product/4606779764400-kz-yogurt-pitevoy-epica-vishnyabanan-25-290ml-pb
Молочные продукты и яйца,Йогурт,Йогурт 2.4% фруктовый со вкусом брусника-голубика-морошка Северные ягоды Чудо п/бут 270г,ТМ Чудо,RU,https://contentservice.kz/product/4690228031403-kz-yogurt-pitevoy-chudo-severnye-yagody-24-270mlpb
Молочные продукты и яйца,Йогурт,Йогурт 3.6% Кокос-Ваниль Epica п/бут 290г,ТМ Epica,RU,https://contentservice.kz/product/4606779772801-kz-yogurt-pitevoy-epica-kokos-vanil-36-290ml-pb
Молочные продукты и яйца,Йогурт,Биойогурт 1.6% Мюсли-5 злаков Bio Max п/бут 270г,ТМ Bio Max,RU,https://contentservice.kz/product/4690228036132-kz-bioyogurt-bio-max-myusli5-zlakov-16-270gr-pb
Молочные продукты и яйца,Йогурт,Продукт йогуртный 2.5% пастеризованный с клубникой Молочный Alpenland Ehrmann ст 95г,ТМ Ehrmann,RU,https://contentservice.kz/product/4606779667800-kz-produkt-yogurtnyy-alpenland-klubnikapersik-mango-25-95gr-stak
Молочные продукты и яйца,Йогурт,Продукт йогуртный 0.3% пастеризованный Персик-маракуйя Легкий Эрмигурт Ehrmann ст 4х100г,ТМ Ehrmann,RU,https://contentservice.kz/product/4606779900105-kz-yogurt-ehrmann-ermigurt-legkiy-persmarak-03-100gr-stak
Молочные продукты и яйца,Йогурт,"Йогурт 2.4% с манго, ананасом и семенами чиа Гавайский микс Чудо п/бут 270г",ТМ Чудо,KG,https://contentservice.kz/product/4607014827621-kz-yogurt-chudo-pitevoy-gavayskiy-miks-97-270gr-pb
